user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Unknown_BY606-001R0001_bin.49	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900541915	GCA_900541915.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900541915	96.71	0.893	GCA_900541915.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900541915	96.71	0.893	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900545025.1, s__URXU01 sp900545025, 95.0, 90.4, 0.762; GCA_947629685.1, s__URXU01 sp947629685, 95.0, 85.46, 0.585; GCA_949285135.1, s__URXU01 sp949285135, 95.0, 85.25, 0.529; GCA_900552005.1, s__URXU01 sp900552005, 95.0, 81.65, 0.306; GCA_958448515.1, s__URXU01 sp958448515, 95.0, 80.79, 0.17	90.11	11	N/A	N/A
Unknown_BY606-001R0001_bin.54	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	N/A	N/A	N/A	N/A	N/A	GCA_944324495.1	95.0	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp944324495	86.71	0.575	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945929285.1, s__Mucispirillum sp945929285, 95.0, 85.15, 0.343; GCA_949287985.1, s__Mucispirillum schaedleri_A, 95.0, 84.58, 0.455; GCA_944325215.1, s__Mucispirillum sp944325215, 95.0, 84.28, 0.433; GCA_947177675.1, s__Mucispirillum sp947177675, 95.0, 82.94, 0.152; GCA_019116905.1, s__Mucispirillum faecigallinarum, 95.0, 80.55, 0.158; GCA_944326705.1, s__Mucispirillum sp944326705, 95.0, 80.42, 0.188; GCA_910586745.1, s__Mucispirillum sp910586745, 95.0, 80.36, 0.151; GCA_944323205.1, s__Mucispirillum sp944323205, 95.0, 79.95, 0.173; GCA_944324465.1, s__Mucispirillum sp944324465, 95.0, 79.85, 0.175	90.69	11	0.98462	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0001_bin.58	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp944329425	GCA_944329425.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp944329425	97.72	0.881	GCA_944329425.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp944329425	97.72	0.881	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	82.4	11	N/A	N/A
Unknown_BY606-001R0001_bin.60	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_G;s__Treponema_G sp944389415	GCA_944389415.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_G;s__Treponema_G sp944389415	98.33	0.9	GCA_944389415.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_G;s__Treponema_G sp944389415	98.33	0.9	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_G;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.65	11	N/A	N/A
Unknown_BY606-001R0001_bin.67	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.29	11	0.80673	N/A
Unknown_BY606-001R0001_bin.68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	GCA_019115075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	96.96	0.878	GCA_019115075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	96.96	0.878	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 84.33, 0.307; GCA_019119615.1, s__Alistipes stercoravium, 95.0, 84.24, 0.326; GCF_022782405.1, s__Alistipes sp022782405, 95.0, 83.64, 0.286; GCF_006542685.1, s__Alistipes dispar, 95.0, 83.51, 0.283; GCA_019119845.1, s__Alistipes merdavium, 95.0, 83.33, 0.236; GCF_949296715.1, s__Alistipes sp949296715, 95.0, 83.04, 0.247; GCA_938014215.1, s__Alistipes sp938014215, 95.0, 82.93, 0.228; GCF_900604385.1, s__Alistipes megaguti, 95.0, 82.32, 0.208; GCA_944321945.1, s__Alistipes sp944321945, 95.0, 82.15, 0.157; GCA_019115245.1, s__Alistipes cottocaccae, 95.0, 82.14, 0.194; GCA_019118605.1, s__Alistipes faecavium, 95.0, 82.09, 0.193; GCA_019112825.1, s__Alistipes excrementigallinarum, 95.0, 82.08, 0.154; GCA_944321185.1, s__Alistipes sp944321185, 95.0, 81.85, 0.182; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 81.83, 0.161; GCF_900541585.1, s__Alistipes sp900541585, 95.0, 81.8, 0.164; GCF_900083545.1, s__Alistipes provencensis, 95.0, 81.68, 0.157; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 81.68, 0.152; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 81.62, 0.166; GCF_025145845.1, s__Alistipes shahii, 95.0, 81.53, 0.159; GCA_944321765.1, s__Alistipes sp944321765, 95.0, 81.49, 0.179; GCF_025145285.1, s__Alistipes onderdonkii, 95.0, 80.33, 0.151; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.26, 0.156	67.13	11	N/A	N/A
Unknown_BY606-001R0003_bin.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	GCF_003437535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	96.0	0.791	GCA_945965395.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp945965395	94.97	0.74	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000187895.1, s__Phocaeicola plebeius, 95.0, 94.06, 0.741; GCA_900557085.1, s__Phocaeicola sp900557085, 95.0, 94.06, 0.536; GCF_025567125.1, s__Phocaeicola fibrisolvens, 95.0, 83.81, 0.375; GCF_025993685.1, s__Phocaeicola mediterraneensis_A, 95.0, 83.74, 0.391; GCF_016900355.1, s__Phocaeicola sp900551065, 95.0, 83.68, 0.366; GCF_900128455.1, s__Phocaeicola mediterraneensis, 95.0, 83.32, 0.373; GCA_900551445.1, s__Phocaeicola sp900551445, 95.0, 83.18, 0.339; GCF_902472605.1, s__Phocaeicola sp902472605, 95.0, 82.84, 0.34; GCA_900552075.1, s__Phocaeicola sp900552075, 95.0, 82.83, 0.38	77.4	11	N/A	N/A
Unknown_BY606-001R0003_bin.13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_019116245.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter faecipullorum	88.68	0.559	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_949287525.1, s__Tidjanibacter sp949287525, 95.0, 87.9, 0.497	55.23	11	0.99082	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0003_bin.23	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Avibacteroides;s__	N/A	N/A	N/A	N/A	N/A	GCA_944320965.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Avibacteroides;s__Avibacteroides sp944320965	93.33	0.783	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Avibacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	88.92	11	0.99331	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0003_bin.24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.27	11	0.95843	N/A
Unknown_BY606-001R0003_bin.25	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ndongoniae	GCF_900108345.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ndongoniae	97.81	0.905	GCF_900108345.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ndongoniae	97.81	0.905	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902472795.1, s__Bacteroides sp902472795, 95.0, 89.66, 0.603; GCA_905201685.1, s__Bacteroides sp905201685, 95.0, 88.59, 0.478	90.11	11	N/A	N/A
Unknown_BY606-001R0003_bin.30	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CALUPD01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CALUPD01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.21	11	0.92326	N/A
Unknown_BY606-001R0003_bin.31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.26	0.943	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.26	0.943	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	85.96	11	N/A	N/A
Unknown_BY606-001R0003_bin.32	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	GCA_019116645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	99.59	0.903	GCA_019116645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	99.59	0.903	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000283635.1, s__Streptococcus macedonicus, 95.18, 83.04, 0.178; GCF_900475675.1, s__Streptococcus lutetiensis, 95.0, 82.73, 0.176; GCF_002000985.1, s__Streptococcus gallolyticus, 96.3, 82.47, 0.193; GCF_004843545.1, s__Streptococcus pasteurianus, 95.21, 82.41, 0.185; GCF_011387195.1, s__Streptococcus ruminicola, 95.0, 82.32, 0.184; GCF_000154985.1, s__Streptococcus infantarius, 95.0, 82.0, 0.169; GCF_900104225.1, s__Streptococcus equinus_D, 95.0, 81.89, 0.176; GCF_016461705.1, s__Streptococcus vicugnae, 95.0, 81.87, 0.162; GCF_003337175.1, s__Streptococcus gallolyticus_B, 95.0, 81.84, 0.177; GCF_000187265.1, s__Streptococcus equinus, 95.0, 81.57, 0.169; GCF_900101445.1, s__Streptococcus equinus_B, 95.0, 81.45, 0.177	98.17	11	N/A	N/A
Unknown_BY606-001R0003_bin.48	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.44	0.94	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.44	0.94	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.54, 0.628; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 88.82, 0.561; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 88.41, 0.528; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 87.43, 0.454; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.95, 0.38; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 86.82, 0.43; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 86.17, 0.388; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.35, 0.294; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 84.9, 0.292; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.39, 0.216; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.04, 0.166	70.88	11	N/A	N/A
Unknown_BY606-001R0003_bin.49	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides faecigallinarum	GCA_017695015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides faecigallinarum	98.33	0.789	GCA_017695015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides faecigallinarum	98.33	0.789	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	83.14	11	N/A	N/A
Unknown_BY606-001R0003_bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	GCF_000157915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	98.55	0.894	GCF_000157915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	98.55	0.894	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	73.72	11	N/A	N/A
